rt,subject,trial_type,size,probe,predicted,phon_sim,probe_phon_sim
1.03176879882812,64,IN,6,V,0.525892857142857,0.14853589659712577,0.0
0.8450927734375,64,IN,8,P,0.5264285714285715,0.2266225419580198,0.26657505768349127
1.30789184570312,64,OUT,8,Z,0.5292410714285714,0.2300690294091659,0.25613623124317847
1.109619140625,64,OUT,6,R,0.5453571428571428,0.2761917185375411,0.36847082841570633
1.1396484375,64,IN,6,V,0.537797619047619,0.2058557112350587,0.11547005383792516
1.1396484375,64,IN,6,P,0.5208333333333334,0.3842938745453947,0.11111111111111115
1.1983642578125,64,OUT,6,S,0.5404166666666667,0.21453401477661918,0.42280763283906264
1.1983642578125,64,OUT,6,V,0.54625,0.2634477287128337,0.09622504486493764
1.35598754882812,64,OUT,4,N,0.5452678571428571,0.36847082841570633,0.5763531213117797
1.42376708984375,64,OUT,8,H,0.5416071428571428,0.3485156845132266,0.0777510584910183
1.00494384765625,64,OUT,4,K,0.5416964285714285,0.37878277461590115,0.2276709006307398
1.2244873046875,64,IN,8,L,0.5384375,0.2206043235094399,0.3293446407495884
1.10809326171875,64,OUT,6,R,0.5453571428571428,0.2761917185375411,0.36847082841570633
1.10809326171875,64,OUT,6,P,0.5212499999999999,0.2813389786187642,0.35167372327345525
0.836761474609375,64,IN,4,G,0.5602678571428571,0.31133899812498245,0.324535599249993
1.85281372070312,64,OUT,6,F,0.5255357142857142,0.5407163087827417,0.07453559924999299
1.04156494140625,64,OUT,8,Z,0.528125,0.22875563251456815,0.29780289790984515
0.962158203125,64,OUT,4,F,0.5499107142857143,0.20294906959865186,0.14907119849998599
0.962158203125,64,OUT,4,V,0.5454464285714287,0.14433756729740646,0.0
0.962158203125,64,OUT,4,D,0.5419642857142857,0.6210112905708617,0.7311252243246882
0.871429443359375,64,OUT,4,S,0.5415178571428572,0.38114096617239596,0.23020509831248423
1.20980834960938,64,OUT,4,L,0.5511607142857143,0.17076064411493064,0.3118033988749895
1.18954467773438,64,OUT,6,V,0.5235714285714286,0.4472079033996032,0.04811252243246882
1.34271240234375,64,IN,8,P,0.5265625,0.2185698985742999,0.2538155723296283
0.921112060546875,64,OUT,6,L,0.5179761904761905,0.2560842223938767,0.3716397779494322
1.27093505859375,64,IN,4,L,0.5232142857142856,0.41657703760921855,0.43879925983144075
1.06655883789062,64,OUT,4,F,0.5266071428571428,0.25544867840851765,0.14433756729740646
1.24948120117188,64,OUT,6,N,0.5263690476190477,0.27360395169980156,0.26663994604117247
1.4176025390625,64,OUT,8,F,0.5352232142857143,0.27653295339100536,0.2579048749105496
2.24960327148438,64,OUT,4,H,0.5178571428571429,0.24021055598469174,0.08333333333333336
1.648681640625,64,IN,4,L,0.5328571428571428,0.21939962991572037,0.3527329632490537
0.978118896484375,64,OUT,4,R,0.5183928571428571,0.11111111111111115,0.12909944487358058
0.978118896484375,64,OUT,4,T,0.5229464285714287,0.3035612008409864,0.4146723119520976
1.06024169921875,64,IN,8,V,0.5360267857142857,0.24567891529391517,0.1300976575032799
2.01531982421875,64,OUT,4,D,0.5322321428571428,0.4350188372710618,0.7033097498210992
0.92828369140625,64,IN,4,G,0.5220535714285715,0.2078689325833263,0.14907119849998599
0.92828369140625,64,IN,4,C,0.5547321428571428,0.14433756729740646,0.1924500897298753
1.4095458984375,64,OUT,8,G,0.5265625,0.33044855681300633,0.31557048308619795
1.09323120117188,64,IN,4,S,0.5238392857142857,0.2510615920311206,0.41605688747985425
1.626708984375,64,OUT,6,S,0.5248214285714287,0.348829153040793,0.20158258797412495
1.08035278320312,64,IN,4,N,0.5427678571428571,0.38114096617239596,0.22360679774997896
1.68142700195312,64,IN,6,T,0.5282738095238094,0.21107525948813188,0.30327955589886446
1.11297607421875,64,OUT,6,H,0.5326785714285714,0.2516586445831307,0.11111111111111115
1.16323852539062,64,OUT,6,T,0.5266071428571428,0.24542730297911003,0.4627848343845664
1.1383056640625,64,OUT,8,F,0.5170089285714285,0.26598031418718937,0.2777221825236927
1.43267822265625,64,IN,6,T,0.516547619047619,0.256001245971829,0.3581781920396533
1.1265869140625,64,IN,8,V,0.5372321428571429,0.21047112793287479,0.08247860988423227
1.07623291015625,64,IN,8,T,0.5236607142857143,0.29729085552780316,0.4442917628058188
0.910003662109375,64,IN,4,L,0.5291071428571429,0.0985887038467491,0.26454972243679026
0.907867431640625,64,OUT,4,B,0.5444642857142857,0.378629576698257,0.11180339887498948
1.04708862304688,64,IN,4,F,0.5303571428571429,0.19989312285296204,0.2886751345948129
0.957855224609375,64,OUT,4,F,0.5333035714285714,0.14433756729740646,0.09622504486493764
0.957855224609375,64,OUT,4,C,0.5449999999999999,0.3330284437399271,0.28105607338289995
0.957855224609375,64,OUT,4,P,0.5228571428571429,0.25682694069731765,0.0
1.90371704101562,64,IN,4,G,0.5308928571428572,0.13349284448993412,0.26698568897986824
1.01995849609375,64,OUT,4,R,0.5550892857142857,0.22122504486493763,0.4086079420610543
1.13983154296875,64,OUT,6,V,0.537797619047619,0.2058557112350587,0.11547005383792516
1.13983154296875,64,OUT,6,P,0.5208333333333334,0.3842938745453947,0.11111111111111115
0.960357666015625,64,OUT,4,L,0.5550892857142857,0.22122504486493763,0.4086079420610543
0.960357666015625,64,OUT,4,G,0.52375,0.0985887038467491,0.2002392667349012
1.04827880859375,64,IN,8,R,0.5263839285714286,0.2518146734114205,0.27400485553569925
1.242431640625,64,OUT,8,D,0.5368303571428572,0.1822250222115081,0.3829048749105496
1.17669677734375,64,IN,6,G,0.5223214285714286,0.1847150628109127,0.11547005383792516
1.50161743164062,64,OUT,8,H,0.5420089285714286,0.3090573677668253,0.0777510584910183
0.864593505859375,64,IN,8,D,0.5371428571428571,0.28543342278436684,0.34004513158495525
0.854522705078125,64,OUT,4,Z,0.56375,0.20294906959865186,0.3679348951889505
0.854522705078125,64,OUT,4,L,0.5517857142857143,0.14433756729740646,0.2968045431860648
2.40423583984375,64,OUT,4,F,0.52625,0.24800564528543081,0.14433756729740646
0.685943603515625,64,IN,6,K,0.5314880952380953,0.3479446868729679,0.05773502691896258
1.19546508789062,64,OUT,8,V,0.5236607142857144,0.26729320706988946,0.04166666666666668
1.19546508789062,64,OUT,8,R,0.5214732142857142,0.22723983347403007,0.33657883224892227
2.642333984375,64,IN,8,T,0.5104910714285715,0.2778047678721172,0.3815854739819392
1.235107421875,64,IN,6,F,0.5292857142857142,0.44010623242488534,0.32888543819998317
1.235107421875,64,IN,6,N,0.5441666666666666,0.31684486650880733,0.44877177633189635
1.261474609375,64,IN,8,F,0.5345535714285714,0.36297634444190663,0.38128443652707134
0.808349609375,64,OUT,4,P,0.5328571428571429,0.21939962991572037,0.08333333333333336
1.22030639648438,64,IN,8,P,0.5286607142857143,0.2671657415215485,0.22533575274137516
1.82839965820312,64,IN,6,K,0.5370238095238095,0.21642275499194172,0.05773502691896258
0.96136474609375,64,OUT,8,C,0.5194196428571429,0.3003279970639326,0.252326700637222
0.96136474609375,64,OUT,8,K,0.5306696428571429,0.31766516118955435,0.11941772515768498
4.96380615234375,63,IN,4,R,0.5279464285714286,0.2029490695986518,0.309673094332366
3.31796264648438,63,OUT,4,P,0.525982142857143,0.12264812168246181,0.2276709006307398
2.3988037109375,63,IN,6,R,0.5161904761904762,0.27179255024749444,0.3388854381999832
2.42364501953125,63,OUT,4,F,0.5134821428571428,0.378629576698257,0.22360679774997896
1.76071166992188,63,IN,8,P,0.5213392857142858,0.24872296368246555,0.31419410530253894
4.3363037109375,63,OUT,8,P,0.5304910714285715,0.2682956103177228,0.1555021169820366
1.5113525390625,63,IN,4,R,0.5349999999999999,0.21939962991572037,0.3527329632490537
1.42889404296875,63,IN,8,N,0.5302678571428572,0.38025172958208725,0.48906378199957334
1.25970458984375,63,IN,6,S,0.5198214285714285,0.15883073751416674,0.24963413248791255
3.07025146484375,63,OUT,6,G,0.5169047619047619,0.23791481123447702,0.21887316654739944
3.1317138671875,63,OUT,4,L,0.5307142857142857,0.22867985865229765,0.3763531213117798
